geo_value,signal,time_value,issue,lag,value,stderr,sample_size,geo_type,data_source
oh,confirmed_incidence_num,2021-01-09,2021-01-11,2,8374.0,,,state,usa-facts
ok,confirmed_incidence_num,2021-01-09,2021-01-11,2,4289.0,,,state,usa-facts
or,confirmed_incidence_num,2021-01-09,2021-01-11,2,0.0,,,state,usa-facts
pa,confirmed_incidence_num,2021-01-09,2021-01-11,2,10045.0,,,state,usa-facts
ri,confirmed_incidence_num,2021-01-09,2021-01-11,2,0.0,,,state,usa-facts
sc,confirmed_incidence_num,2021-01-09,2021-01-11,2,5908.0,,,state,usa-facts
sd,confirmed_incidence_num,2021-01-09,2021-02-10,32,321.0,,,state,usa-facts
tn,confirmed_incidence_num,2021-01-09,2021-01-11,2,5844.0,,,state,usa-facts
tx,confirmed_incidence_num,2021-01-09,2021-02-10,32,45824.0,,,state,usa-facts
ut,confirmed_incidence_num,2021-01-09,2021-01-11,2,2661.0,,,state,usa-facts
va,confirmed_incidence_num,2021-01-09,2021-01-18,9,5798.0,,,state,usa-facts
vt,confirmed_incidence_num,2021-01-09,2021-01-11,2,171.0,,,state,usa-facts
wa,confirmed_incidence_num,2021-01-09,2021-01-11,2,0.0,,,state,usa-facts
wi,confirmed_incidence_num,2021-01-09,2021-01-11,2,3516.0,,,state,usa-facts
wv,confirmed_incidence_num,2021-01-09,2021-01-11,2,0.0,,,state,usa-facts
wy,confirmed_incidence_num,2021-01-09,2021-01-11,2,72.0,,,state,usa-facts
ak,confirmed_incidence_num,2021-01-10,2021-01-18,8,246.0,,,state,usa-facts
al,confirmed_incidence_num,2021-01-10,2021-02-10,31,2750.0,,,state,usa-facts
ar,confirmed_incidence_num,2021-01-10,2021-01-18,8,3330.0,,,state,usa-facts
az,confirmed_incidence_num,2021-01-10,2021-01-11,1,11201.0,,,state,usa-facts
ca,confirmed_incidence_num,2021-01-10,2021-01-11,1,49685.0,,,state,usa-facts
co,confirmed_incidence_num,2021-01-10,2021-02-11,32,2200.0,,,state,usa-facts
